"('P0', 'id')","('P1_a ', 'Idade')","('P1_b ', 'Genero')","('P1_e_b ', 'Regiao onde mora')","('P1_h ', 'Nivel de Ensino')","('P2_f ', 'Cargo Atual')","('P2_g ', 'Nivel')","('P2_h ', 'Faixa salarial')","('P2_i ', 'Quanto tempo de experiência na área de dados você tem?')","('P2_q ', 'Atualmente qual a sua forma de trabalho?')","('P2_r ', 'Qual a forma de trabalho ideal para você?')","('P2_a ', 'Qual sua situação atual de trabalho?')","('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')","('P2_o_a ', 'Remuneração/Salário')","('P2_o_b ', 'Benefícios')","('P2_o_c ', 'Propósito do trabalho e da empresa')","('P2_o_d ', 'Flexibilidade de trabalho remoto')","('P2_o_e ', 'Ambiente e clima de trabalho')","('P2_o_f ', 'Oportunidade de aprendizado e trabalhar com referências na área')","('P2_o_g ', 'Plano de carreira e oportunidades de crescimento profissional')","('P2_o_h ', 'Maturidade da empresa em termos de tecnologia e dados')"
2kr6mx1ela2zu24nxf2kr6ca0yvp0gm9,34.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área, Maturidade da empresa em termos de tecnologia e dados",0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
y9dh05swm0ig9kv2qsurpdky9dh0s3zu,27.0,Masculino,Sul,Graduação/Bacharelado,,,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Modelo 100% remoto,Modelo 100% remoto,Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Ambiente e clima de trabalho, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
7wm2pmd3113vghlsl7wm2pldgsj1poz1,32.0,Feminino,Sudeste,Pós-graduação,,,Acima de R$ 40.001/mês,Mais de 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),Maturidade da empresa em termos de tecnologia e dados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ow7vlsfgx7rmgvvow4cmnzwinspblahh,43.0,Masculino,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Maturidade da empresa em termos de tecnologia e dados, Flexibilidade de trabalho remoto",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
kv844vwc9fnc7icenh7ph6dkv844vwcr,34.0,Feminino,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,Empregado (CLT),"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
80lp5xu2s5aue1c9rmz80lp5dei3nc60,33.0,Feminino,Sudeste,Mestrado,,,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
33hdko40rt8p12t1mbhn62s33hdko4eh,46.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 25.001/mês a R$ 30.000/mês,de 4 a 5 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Propósito do trabalho e da empresa, Ambiente e clima de trabalho, Remuneração/Salário",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3fgszlrdd72ve5e6y23fgssra77g98zm,43.0,Masculino,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),Flexibilidade de trabalho remoto,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
iqgcgz2lsmeqbx939iqgcda5afcmii4i,38.0,Masculino,Sudeste,Pós-graduação,,,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Maturidade da empresa em termos de tecnologia e dados",1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0lvkp4kfw7q3oi0lvk8ddwt8wkmgig1a,37.0,Masculino,Norte,Graduação/Bacharelado,,,de R$ 30.001/mês a R$ 40.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,Servidor Público,"Remuneração/Salário, Ambiente e clima de trabalho, Plano de carreira e oportunidades de crescimento profissional",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
sf3qcyidym1alkzqk51tsf3qczy7i94m,21.0,Masculino,Sudeste,Mestrado,,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Propósito do trabalho e da empresa, Remuneração/Salário, Reputação que a empresa tem no mercado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ejvqb5qoz31zngejvqbmuaer9d54cvcn,30.0,Masculino,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Qualidade dos gestores e líderes, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2yj72i5g8d2qd2yj7028nmphm3e750r4,33.0,Masculino,Sudeste,Não tenho graduação formal,,,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Plano de carreira e oportunidades de crescimento profissional, Benefícios, Remuneração/Salário",1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ldb6gtjcpnes6xldb6l114oklnvf98l1,32.0,Masculino,Sul,Pós-graduação,,,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo 100% remoto,Empregado (CLT),Plano de carreira e oportunidades de crescimento profissional,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
i8m8jqh7ie8wgt56ui8m83jzfj5tgwb8,30.0,Feminino,Sudeste,Pós-graduação,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
frcux7u7md7w8it0frcunaj3vcelccza,32.0,Masculino,Sul,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Flexibilidade de trabalho remoto, Remuneração/Salário, Propósito do trabalho e da empresa",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
odm1n136vw0bodm1naj1sbftq7y7lbsy,38.0,Masculino,Sudeste,Pós-graduação,,,Acima de R$ 40.001/mês,Não tenho experiência na área de dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,Empreendedor ou Empregado (CNPJ),"Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área, Propósito do trabalho e da empresa",0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
dz7ck9n6ghayra2dzcwtxc9aedftpnv1,54.0,Feminino,Sudeste,Pós-graduação,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Benefícios, Propósito do trabalho e da empresa",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
arc3jv9nyz7z9nfly8farc3jvh9y1v2a,33.0,Masculino,Sudeste,Pós-graduação,,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo 100% remoto,Modelo 100% remoto,Empreendedor ou Empregado (CNPJ),"Oportunidade de aprendizado e trabalhar com referências na área, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
w2pz782x96rtw2pzhs6ov8scud7q6t9a,27.0,Masculino,Centro-oeste,Pós-graduação,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo 100% remoto,Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Propósito do trabalho e da empresa, Ambiente e clima de trabalho",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
u0hhyrmipf87fhu0hhyrggcbk5c9o0z0,21.0,Masculino,Sul,Estudante de Graduação,,,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Estagiário,"Ambiente e clima de trabalho, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
t2eehp2bhzu9bro3t2eehp2b73zq7gvi,21.0,Masculino,Sul,Não tenho graduação formal,,,de R$ 2.001/mês a R$ 3000/mês,Não tenho experiência na área de dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Propósito do trabalho e da empresa, Maturidade da empresa em termos de tecnologia e dados, Oportunidade de aprendizado e trabalhar com referências na área",0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
mcynszjpbcax09dfx8mcynszly5wgwp4,30.0,Masculino,Sudeste,Graduação/Bacharelado,,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo 100% remoto,Modelo 100% remoto,Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
9y1t62nwe8mvyyi9ao3sl39y1t62nkoc,35.0,Masculino,Sudeste,Pós-graduação,,,de R$ 16.001/mês a R$ 20.000/mês,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial,Modelo 100% remoto,Empregado (CLT),"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9b1oq1t8385hpegc9b1oqtgpezmbsjvb,49.0,Feminino,Sudeste,Graduação/Bacharelado,,,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido com dias fixos de trabalho presencial,Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
upjalj1ktjyq109m0u4kupjaljdevvq5,34.0,Masculino,Sudeste,Pós-graduação,,,de R$ 16.001/mês a R$ 20.000/mês,de 6 a 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empreendedor ou Empregado (CNPJ),"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Qualidade dos gestores e líderes",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
i5hm8fcc1oxf241lfcfai5hm8fc97bua,47.0,Masculino,Sudeste,Mestrado,,,de R$ 3.001/mês a R$ 4.000/mês,de 6 a 10 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Empregado (CLT),"Remuneração/Salário, Qualidade dos gestores e líderes, Ambiente e clima de trabalho",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
